AOAH P28039
AOC1 P19801
AOC2 O75106
AOC3 Q16853
AOPEP Q8N6M6
AOX1 Q06278
AP1AR Q63HQ0
AP1B1 Q10567
AP1G1 O43747
AP1G2 O75843
AP1M1 Q9BXS5
AP1S3 Q96PC3
AP2A1 O95782
AP2M1 Q96CW1
AP2S1 P53680
AP3B1 O00203
AP3D1 O14617
AP3S1 Q92572
AP4B1 Q9Y6B7
AP4E1 Q9UPM8
AP5M1 Q9H0R1
AP5Z1 O43299
APBA1 Q02410
APBA2 Q99767
APBA3 O96018
APBB1 O00213
APBB1IP Q7Z5R6
APBB2 Q92870
APBB3 O95704
APC P25054
APC2 O95996
APCDD1 Q8J025
APCDD1L Q8NCL9
APCS P02743
APEH P13798
APEX1 P27695
APEX2 Q9UBZ4
APH1B Q8WW43
API5 Q9BZZ5
APIP Q96GX9
APLF Q8IW19
APLNR P35414
APLP2 Q06481
APMAP Q9HDC9
APOA1 P02647
APOA4 P06727
APOA5 Q6Q788
APOB P04114
APOBEC1 P41238
APOBEC2 Q9Y235
APOBEC3A P31941
APOBEC3B Q9UH17
APOBEC3F Q8IUX4
APOBEC3G Q9HC16
APOBEC3H Q6NTF7
APOBEC4 Q8WW27
APOBR Q0VD83
APOC1 P02654
APOC2 P02655
APOC3 P02656
APOC4 P55056
APOD P05090
APOE P02649
APOF Q13790
APOH P02749
APOL1 O14791
APOL2 Q9BQE5
APOL3 O95236
APOL4 Q9BPW4
APOL5 Q9BWW9
APOL6 Q9BWW8
APP P05067
APPBP2 Q92624
APPL1 Q9UKG1
APPL2 Q8NEU8
APRG1 Q8IVJ8
APRT P07741
APTX Q7Z2E3
AQP1 P29972
AQP10 Q96PS8
AQP11 Q8NBQ7
AQP2 P41181
AQP3 Q92482
AQP5 P55064
AQP6 Q13520
AQP7 O14520
AQP8 O94778
AQP9 O43315
AR P10275
ARAF P10398
ARAP1 Q96P48
ARAP2 Q8WZ64
ARAP3 Q8WWN8
ARCN1 P48444
AREG P15514
AREL1 O15033
ARF1 P84077
ARF4 P18085
ARFGAP1 Q8N6T3
ARFGAP2 Q8N6H7
ARFGAP3 Q9NP61
ARFGEF1 Q9Y6D6
ARFGEF2 Q9Y6D5
ARFGEF3 Q5TH69
ARFRP1 Q13795
ARG1 P05089
ARG2 P78540
ARGFX A6NJG6
ARHGAP1 Q07960
ARHGAP10 A1A4S6
ARHGAP11A Q6P4F7
ARHGAP12 Q8IWW6
ARHGAP18 Q8N392
ARHGAP19 Q14CB8
ARHGAP20 Q9P2F6
ARHGAP21 Q5T5U3
ARHGAP22 Q7Z5H3
ARHGAP25 P42331
ARHGAP26 Q9UNA1
ARHGAP27 Q6ZUM4
ARHGAP28 Q9P2N2
ARHGAP29 Q52LW3
ARHGAP30 Q7Z6I6
ARHGAP31 Q2M1Z3
ARHGAP4 P98171
ARHGAP40 Q5TG30
ARHGAP44 Q17R89
ARHGAP45 Q92619
ARHGAP5 Q13017
ARHGAP6 O43182
ARHGAP8 P85298
ARHGAP9 Q9BRR9
ARHGEF1 Q92888
ARHGEF10 O15013
ARHGEF10L Q9HCE6
ARHGEF11 O15085
ARHGEF12 Q9NZN5
ARHGEF15 O94989
ARHGEF16 Q5VV41
ARHGEF17 Q96PE2
ARHGEF18 Q6ZSZ5
ARHGEF19 Q8IW93
ARHGEF25 Q86VW2
ARHGEF26 Q96DR7
ARHGEF28 Q8N1W1
ARHGEF3 Q9NR81
ARHGEF37 A1IGU5
ARHGEF38 Q9NXL2
ARHGEF39 Q8N4T4
ARHGEF4 Q9NR80
ARHGEF40 Q8TER5
ARHGEF6 Q15052
ARHGEF7 Q14155
ARHGEF9 O43307
ARID1A O14497
ARID1B Q8NFD5
ARID3A Q99856
ARID3C A6NKF2
ARID4A P29374
ARIH1 Q9Y4X5
ARIH2 O95376
ARL11 Q969Q4
ARL13B Q3SXY8
ARL14 Q8N4G2
ARL14EP Q8N8R7
ARL16 Q0P5N6
ARL17A Q8IVW1
ARL2 P36404
ARL2BP Q9Y2Y0
ARL3 P36405
ARL4D P49703
ARL6 Q9H0F7
ARL6IP4 Q66PJ3
ARMC10 Q8N2F6
ARMC2 Q8NEN0
ARMC3 Q5W041
ARMC5 Q96C12
ARMC9 Q7Z3E5
ARMCX4 Q5H9R4
ARMH4 Q86TY3
ARMS2 P0C7Q2
ARMT1 Q9H993
ARNT P27540
ARNT2 Q9HBZ2
ARNTL2 Q8WYA1
ARPC1B O15143
ARR3 P36575
ARRDC1 Q8N5I2
ARRDC2 Q8TBH0
ARRDC4 Q8NCT1
ARSA P15289
ARSB P15848
ARSD P51689
ARSF P54793
ARSG Q96EG1
ARSJ Q5FYB0
ARSK Q6UWY0
ARSL P51690
ART1 P52961
ART3 Q13508
ART4 Q93070
ARTN Q5T4W7
ARV1 Q9H2C2
ARVCF O00192
ARX Q96QS3
AS3MT Q9HBK9
ASAH1 Q13510
ASAH2 Q9NR71
ASAP1 Q9ULH1
ASAP2 O43150
ASAP3 Q8TDY4
ASB10 Q8WXI3
ASB11 Q8WXH4
ASB15 Q8WXK1
ASB16 Q96NS5
ASB16-AS1 Q495Z4
ASB17 Q8WXJ9
ASB18 Q6ZVZ8
ASB2 Q96Q27
ASB4 Q9Y574
ASCC1 Q8N9N2
ASCC2 Q9H1I8
ASCC3 Q8N3C0
ASCL1 P50553
ASCL3 Q9NQ33
ASGR2 P07307
ASH1L Q9NR48
ASH2L Q9UBL3
ASIC2 Q16515
ASIC3 Q9UHC3
ASIC4 Q96FT7
ASIP P42127
ASL P04424
ASMT P46597
ASMTL O95671
ASNS P08243
ASNSD1 Q9NWL6
ASPA P45381
ASPDH A6ND91
ASPG Q86U10
ASPH Q12797
ASPHD2 Q6ICH7
ASPM Q8IZT6
ASPRV1 Q53RT3
ASPSCR1 Q9BZE9
ASRGL1 Q7L266
ASS1 P00966
ASTL Q6HA08
ASTN1 O14525
ASTN2 O75129
ASXL1 Q8IXJ9
ASXL2 Q76L83
ASXL3 Q9C0F0
ASZ1 Q8WWH4
ATAD1 Q8NBU5
ATAD2 Q6PL18
ATAD2B Q9ULI0
ATAD3A Q9NVI7
ATAD3B Q5T9A4
ATAD5 Q96QE3
ATCAY Q86WG3
ATF1 P18846
ATF2 P15336
ATF3 P18847
ATF4 P18848
ATF5 Q9Y2D1
ATF6 P18850
ATF7IP Q6VMQ6
ATF7IP2 Q5U623
ATG10 Q9H0Y0
ATG14 Q6ZNE5
ATG16L1 Q676U5
ATG16L2 Q8NAA4
ATG2A Q2TAZ0
ATG2B Q96BY7
ATG4B Q9Y4P1
ATG5 Q9H1Y0
ATG7 O95352
ATG9A Q7Z3C6
ATG9B Q674R7
ATIC P31939
ATL1 Q8WXF7
ATL2 Q8NHH9
ATL3 Q6DD88
ATM Q13315
ATMIN O43313
ATN1 P54259
ATOH1 Q92858
ATOH7 Q8N100
ATOH8 Q96SQ7
ATP10A O60312
ATP10B O94823
ATP10D Q9P241
ATP11A P98196
ATP11C Q8NB49
ATP12A P54707
ATP13A1 Q9HD20
ATP13A2 Q9NQ11
ATP13A4 Q4VNC1
ATP13A5 Q4VNC0
ATP1A1 P05023
ATP1A2 P50993
ATP1A3 P13637
ATP1A4 Q13733
ATP1B2 P14415
ATP1B4 Q9UN42
ATP23 Q9Y6H3
ATP2A1 O14983
ATP2A2 P16615
ATP2A3 Q93084
ATP2B1 P20020
ATP2B2 Q01814
ATP2B3 Q16720
ATP2C1 P98194
ATP2C2 O75185
ATP4A P20648
ATP5F1A P25705
ATP5F1B P06576
ATP5F1D P30049
ATP5F1E P56381
ATP5MC2 Q06055
ATP5MC3 P48201
ATP5MJ P56378
ATP5PB P24539
ATP5PF P18859
ATP5PO P48047
ATP6AP1 Q15904
ATP6AP2 O75787
ATP6V0A2 Q9Y487
ATP6V0A4 Q9HBG4
ATP6V0B Q99437
ATP6V0D2 Q8N8Y2
ATP6V1A P38606
ATP6V1B1 P15313
ATP6V1B2 P21281
ATP6V1C2 Q8NEY4
ATP6V1E1 P36543
ATP6V1F Q16864
ATP6V1G3 Q96LB4
ATP7A Q04656
ATP7B P35670
ATP8A1 Q9Y2Q0
ATP8A2 Q9NTI2
ATP8B1 O43520
ATP8B3 O60423
ATP8B4 Q8TF62
ATP9B O43861
ATPAF1 Q5TC12
ATPAF2 Q8N5M1
ATPSCKMT Q6P4H8
ATR Q13535
ATRAID Q6UW56
ATRIP Q8WXE1
ATRN O75882
ATRNL1 Q5VV63
ATRX P46100
ATXN1 P54253
ATXN1L P0C7T5
ATXN2 Q99700
ATXN3 P54252
ATXN3L Q9H3M9
ATXN7 O15265
ATXN7L2 Q5T6C5
AUH Q13825
AUNIP Q9H7T9
AURKA O14965
AURKAIP1 Q9NWT8
AURKB Q96GD4
AURKC Q9UQB9
AUTS2 Q8WXX7
AVEN Q9NQS1
AVIL O75366
AVL9 Q8NBF6
AVP P01185
AVPI1 Q5T686
AVPR1A P37288
AVPR1B P47901
AVPR2 P30518
AXDND1 Q5T1B0
AXIN1 O15169
AXIN2 Q9Y2T1
AXL P30530
AZIN2 Q96A70
B2M P61769
B3GALNT1 O75752
B3GALNT2 Q8NCR0
B3GALT5 Q9Y2C3
B3GALT6 Q96L58
B3GAT1 Q9P2W7
B3GAT3 O94766
B3GLCT Q6Y288
B3GNT3 Q9Y2A9
B3GNT4 Q9C0J1
B3GNT7 Q8NFL0
B3GNT8 Q7Z7M8
B3GNTL1 Q67FW5
B4GALNT1 Q00973
B4GALNT2 Q8NHY0
B4GALNT3 Q6L9W6
B4GALNT4 Q76KP1
B4GALT1 P15291
B4GALT2 O60909
B4GALT4 O60513
B4GALT5 O43286
B4GALT6 Q9UBX8
B4GALT7 Q9UBV7
B4GAT1 O43505
B9D1 Q9UPM9
B9D2 Q9BPU9
BAALC Q8WXS3
BAAT Q14032
BACE1 P56817
BACH1 O14867
BACH2 Q9BYV9
BAD Q92934
BAG3 O95817
BAG5 Q9UL15
BAG6 P46379
BAGE2 Q86Y30
BAGE3 Q86Y29
BAHCC1 Q9P281
BAHD1 Q8TBE0
BAIAP2 Q9UQB8
BAIAP2L1 Q9UHR4
BAIAP3 O94812
BAK1 Q16611
BANF1 O75531
BANF2 Q9H503
BANK1 Q8NDB2
BAP1 Q92560
BARD1 Q99728
BARX1 Q9HBU1
BASP1 P80723
BATF2 Q8N1L9
BATF3 Q9NR55
BAX Q07812
BAZ1A Q9NRL2
BAZ2A Q9UIF9
BAZ2B Q9UIF8
BBOF1 Q8ND07
BBS1 Q8NFJ9
BBS10 Q8TAM1
BBS12 Q6ZW61
BBS2 Q9BXC9
BBS4 Q96RK4
BBS5 Q8N3I7
BBS7 Q8IWZ6
BBS9 Q3SYG4
BBX Q8WY36
BCAM P50895
BCAN Q96GW7
BCAR1 P56945
BCAR3 O75815
BCAS1 O75363
BCAS2 O75934
BCAS3 Q9H6U6
BCAS4 Q8TDM0
BCAT1 P54687
BCAT2 O15382
BCCIP Q9P287
BCDIN3D Q7Z5W3
BCHE P06276
BCKDHA P12694
BCKDHB P21953
BCKDK O14874
BCL10 O95999
BCL11A Q9H165
